run_id,mode,kappa_mu,kappa_p,S_mean,S_min,S_max,delta_lnR,delta_a_mu_x1e11,within_room,omega_a_std,omega_a_meas,ratio_std,ratio_meas,plot_png
precession_run_1759473503,uniform,1.0,0.0,0.999999999305,0.999999999305,0.999999999305,-7.217014e-10,-0.084,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205370840e-03,precession_run_1759473503_plot.png
precession_run_1759473505,uniform,1.0,1.0,0.999999999305,0.999999999305,0.999999999305,-2.670164e-11,-0.003,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205373417e-03,precession_run_1759473505_plot.png
precession_run_1759473507,radial,1.0,0.0,0.999999999593,0.999999999593,0.999999999593,-4.338140e-10,-0.051,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205371907e-03,precession_run_1759473507_plot.png
precession_run_1759473508,uniform,1.0,0.0,0.999999999305,0.999999999305,0.999999999305,-7.217014e-10,-0.084,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205370840e-03,precession_run_1759473508_plot.png
precession_run_1759475072,file,1.0,0.0,0.999999999304,0.999999999304,0.999999999304,-7.228081e-10,-0.084,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205370836e-03,precession_run_1759475072_plot.png
precession_run_1759475074,file,1.0,1.0,0.999999999304,0.999999999304,0.999999999304,-2.670186e-11,-0.003,True,1.438052e+06,1.438052e+06,3.707205373516e-03,3.707205373417e-03,precession_run_1759475074_plot.png
