s,R
0.1,0.4133276122329283
0.10798159631926385,0.42622926479458356
0.11596319263852771,0.43971145754967433
0.12394478895779157,0.4538101548499151
0.1319263852770554,0.468563955421996
0.13990798159631926,0.4840143505521394
0.1478895779155831,0.5002060036556262
0.15587117423484698,0.5171870552402115
0.16385277055411082,0.535009457256431
0.17183436687337467,0.5537293409929016
0.17981596319263854,0.5734074229728353
0.18779755951190238,0.5941094537139623
0.19577915583116623,0.6159067147155449
0.20376075215043007,0.638876569628148
0.21174234846969392,0.663103076243612
0.2197239447889578,0.6886776667156316
0.22770554110822164,0.7156999042877631
0.23568713742748548,0.7442783257671286
0.24366873374674933,0.7745313800381503
0.25165033006601323,0.8065884740571102
0.25963192638527705,0.8405911389947159
0.26761352270454086,0.8766943304802992
0.27559511902380474,0.9150678782140383
0.2835767153430686,0.9558981014987871
0.2915583116623325,0.9993896084182723
0.2995399079815963,1.0457672973306336
0.3075215043008601,1.095278579875888
0.315503100620124,1.1481958445542648
0.32348469693938786,1.2048191787513327
0.33146629325865173,1.2654793643463191
0.3394478895779156,1.3305411570159582
0.3474294858971794,1.4004068510290688
0.35541108221644324,1.4755201183257218
0.3633926785357071,1.5563700910830867
0.371374274854971,1.6434956281950743
0.37935587117423486,1.7374896646369455
0.3873374674934986,1.8390034838767875
0.3953190638127625,1.9487506711676714
0.40330066013202637,2.0675103916985673
0.41128225645129024,2.196129482013226
0.4192638527705541,2.3355226332463612
0.427245449089818,2.4866696657068488
0.43522704540908175,2.650608529770495
0.4432086417283456,2.8284222020719016
0.4511902380476095,3.021217067577414
0.45917183436687337,3.2300896891154545
0.46715343068613724,3.4560780948896856
0.475135027005401,3.7000929389309034
0.4831166233246649,3.9628232689999683
0.49109821964392875,4.2446114576595395
0.4990798159631926,4.5452925801889545
0.5070614122824565,4.863995843405977
0.5150430086017203,5.198910482429283
0.5230246049209841,5.54702683786327
0.531006201240248,5.903875836729077
0.5389877975595119,6.263306628241997
0.5469693938787757,6.617360525931075
0.5549509901980396,6.956314498178244
0.5629325865173034,7.268970587463623
0.5709141828365673,7.543248215867119
0.5788957791558311,7.7670863384369575
0.586877375475095,7.92958366994188
0.5948589717943589,8.022215829381146
0.6028405681136226,8.039901836609426
0.6108221644328865,7.981685397562296
0.6188037607521504,7.8508668460465545
0.6267853570714143,7.6545527863695275
0.634766953390678,7.4027343895362305
0.6427485497099419,7.107107027774745
0.6507301460292058,6.779871008804097
0.6587117423484696,6.432709267208821
0.6666933386677335,6.076053954911796
0.6746749349869973,5.718667102151353
0.6826565313062611,5.367496647659831
0.690638127625525,5.027736701886208
0.6986197239447889,4.703015308840499
0.7066013202640528,4.395643995413206
0.7145829165833166,4.106881175869543
0.7225645129025804,3.837179262801246
0.7305461092218443,3.586399747202119
0.7385277055411081,3.353990626029616
0.746509301860372,3.1391267994813337
0.7544908981796359,2.9408173680893284
0.7624724944988996,2.7579850976122517
0.7704540908181635,2.5895234744372204
0.7784356871374274,2.4343363054838765
0.7864172834566913,2.291364084012736
0.7943988797759551,2.159600556227079
0.802380476095219,2.038102192382193
0.8103620724144828,1.9259926372827687
0.8183436687337466,1.8224637001520645
0.8263252650530105,1.7267740363342137
0.8343068613722744,1.6382463587632148
0.8422884576915383,1.5562637791494667
0.850270054010802,1.4802657017925507
0.8582516503300659,1.4097435633329642
0.8662332466493298,1.3442366185944552
0.8742148429685936,1.2833279073599702
0.8821964392878575,1.22664049310431
0.8901780356071213,1.1738340380349446
0.8981596319263851,1.124601766896939
0.906141228245649,1.078667874702108
0.9141228245649129,1.0357854536158022
0.9221044208841768,0.9957350591527662
0.9300860172034405,0.958324121609869
0.9380676135227044,0.9233875681889064
0.9460492098419683,0.8907903229817833
0.9540308061612321,0.8604329436528484
0.962012402480496,0.832262870666937
0.9699939987997599,0.8062964170239962
0.9779755951190237,0.7826628177543343
0.9859571914382875,0.761697361172025
0.9939387877575514,0.7441547225510746
1.0019203840768154,0.7317544857456294
1.0099019803960791,0.7288035878563994
1.017883576715343,0.7481841451753041
1.025865173034607,0.8421469914735913
1.0338467693538707,1.373305604255547
1.0418283656731346,2.8580849501728487
1.0498099619923984,1.02167635004551
1.0577915583116624,0.7205830152290189
1.0657731546309261,0.6327242738315036
1.07375475095019,0.5905906253103261
1.081736347269454,0.5638542485398891
1.0897179435887177,0.5439202229694409
1.0976995399079816,0.5276095887042155
1.1056811362272454,0.5135188661768308
1.1136627325465094,0.5009431741474162
1.1216443288657731,0.4894910531293432
1.129625925185037,0.47892642338155716
1.137607521504301,0.46909660332196984
1.1455891178235647,0.4598967070315482
1.1535707141428286,0.4512508124152824
1.1615523104620924,0.4431014259268542
1.1695339067813562,0.43540329993170823
1.1775155031006201,0.42811965015703113
1.185497099419884,0.42121975455068605
1.1934786957391479,0.4146773775809113
1.2014602920584116,0.4084697043944254
1.2094418883776754,0.4025765994005305
1.2174234846969394,0.3969800769231824
1.2254050810162032,0.391663913937241
1.2333866773354671,0.38661336019706727
1.241368273654731,0.3818149165598187
1.2493498699739947,0.3772561620246195
1.2573314662932586,0.3729256162379401
1.2653130626125224,0.36881262828791117
1.2732946589317864,0.3649072853218994
1.2812762552510502,0.3612003363581884
1.2892578515703141,0.35768312792637263
1.297239447889578,0.35434754905382704
1.3052210442088417,0.35118598374097065
1.3132026405281056,0.3481912695170475
1.3211842368473694,0.34535666099466655
1.3291658331666334,0.3426757975817125
1.3371474294858972,0.34014267468828996
1.345129025805161,0.3377516179012473
1.353110622124425,0.3354972597015675
1.3610922184436887,0.3333745183790028
